Municipio,Codigo,Gentilico,Prefeito2021,AreaTerritorialKm2,PopulacaoPessoas,DensidadeDemograficaHabKm2,Escolarizacao6a14Anos2010,IDHM2010,MortalidadeInfantilNascidosVivos,ReceitasRealizadas×1000_2023,DespesasEmpenhadas×1000,PIBperCapita2021
Abaiara,2300101.0,abaiarense,AFONSO TAVARES LEITE,180.833,10038.0,55.51,96.7,0.628,6.71,59768531.11,54988291.19,9859.67
Acarape,2300150.0,acarapense,FRANCISCO EDILBERTO BESERRA BARROSO,130.002,14027.0,107.9,96.8,0.606,10.87,71665247.15,69187520.62,11888.66
Acaraú,2300200.0,acarauense,ANA FLÁVIA RIBEIRO MONTEIRO,842.471,65264.0,77.47,96.8,0.601,2.06,315118554.1,292378502.3,16051.99
Acopiara,2300309.0,acopiarense,ANTÔNIO ALMEIDA NETO,2254.279,44962.0,19.95,97.2,0.595,11.56,190923127.6,182118463.6,10322.74
Aiuaba,2300408.0,aiuabense,RAMILSON ARAUJO MORAES,2438.563,14076.0,5.77,97.5,0.569,18.4,83290889.96,74991714.42,8621.26
Alcântaras,2300507.0,alcantarense,JOAQUIM FREIRE CARVALHO,135.76,11369.0,83.74,97.7,0.6,-,61226904.05,58671506.67,8289.87
Altaneira,2300606.0,altaneirense,FRANCISCO DARIOMAR RODRIGUES SOARES,72.675,6782.0,93.32,95.7,0.602,16.67,51295134.13,49420451.79,9680.24
Alto Santo,2300705.0,alto-santense,JOSE JOENI HOLANDA DE ARAUJO,1147.208,14155.0,12.34,96.5,0.601,5.62,88684025.22,76914498.27,14447.21
Amontada,2300754.0,amontadense,FLAVIO CESAR BRUNO TEIXEIRA FILHO,1175.044,42156.0,35.88,97.0,0.606,9.12,216663029.7,214760946.3,15057.63
Antonina do Norte,2300804.0,antonino ou antoninense,ANTONIO ROSENO FILHO,259.706,7245.0,27.9,95.7,0.599,-,48518444.83,41450344.7,10666.5
Apuiarés,2300903.0,apuiareense,IRIS MARIA CRUZ DE LIMA,543.98,12928.0,23.77,98.6,0.618,14.39,63217066.72,60303265.43,8206.35
Aquiraz,2301000.0,aquirazense,BRUNO BARROS GONÇALVES,480.236,80645.0,167.93,96.5,0.641,13.1,474620527.4,481073826.2,47245.19
Aracati,2301109.0,aracatiense,BISMARCK COSTA LIMA PINHEIRO MAIA,1227.197,75113.0,61.21,98.5,0.655,12.7,356146820.3,348682108.3,22637.56
Aracoiaba,2301208.0,aracoiabense,THIAGO CAMPELO NOGUEIRA,643.988,25553.0,39.68,96.5,0.615,13.29,154393497.7,151436787.0,10015.85
Ararendá,2301257.0,ararendaense,ALEXANDRE FELIX DUTRA,342.301,11096.0,32.42,98.9,0.59,19.61,74501593.65,67591117.75,9722.66
Araripe,2301307.0,araripense,CICERO FERREIRA DA SILVA,1097.339,19783.0,18.03,96.3,0.564,10.07,113855495.0,110072870.3,9581.32
Aratuba,2301406.0,aratubano,JOERLY RODRIGUES VICTOR,119.758,11224.0,93.72,97.0,0.622,27.78,71961433.53,65150241.98,12896.07
Arneiroz,2301505.0,arneirozense,ANTÔNIO MONTEIRO PEDROSA FILHO,1068.437,7429.0,6.95,97.6,0.618,-,43490555.85,39141383.41,8947.96
Assaré,2301604.0,assareense,JOSE LIBORIO LEITE NETO,1155.124,21697.0,18.78,96.6,0.6,7.72,127001198.3,116445961.2,10080.26
Aurora,2301703.0,aurorense,MARCONE TAVARES DE LUNA,885.87,23714.0,26.77,97.9,0.605,16.61,93646799.29,91139591.43,8824.53
Baixio,2301802.0,baixiense,JOSÉ HUMBERTO MOURA RAMALHO,145.556,5704.0,39.19,97.9,0.627,-,38992650.64,35647734.56,10690.19
Banabuiú,2301851.0,banabuiense,FRANCISCO HERMES NOBRE,1080.986,17195.0,15.91,98.0,0.606,4.93,106404075.8,97609183.9,14199.25
Barbalha,2301901.0,barbalhense,GUILHERME SAMPAIO SARAIVA,608.158,75033.0,123.38,98.3,0.683,12.6,467607661.7,431137277.8,21815.78
Barreira,2301950.0,barreirense,MARIA AUXILIADORA BEZERRA FECHINE,260.003,22392.0,86.12,97.8,0.616,7.55,100875197.5,93054083.13,10566.4
Barro,2302008.0,barrense,JOSÉ MARQUINÉLIO TAVARES,711.346,19381.0,27.25,97.1,0.599,19.32,78913510.19,74158389.01,10599.42
Barroquinha,2302057.0,barroquinhense,JAIME VERAS SILVA FILHO,385.583,14567.0,37.78,97.9,0.571,4.78,79538798.31,72036894.74,8848.31
Baturité,2302107.0,baturiteense,HERBERLH FREITAS REIS CAVALCANTE MOTA,314.075,35218.0,112.13,95.9,0.619,13.51,173038242.6,165306745.4,12408.24
Beberibe,2302206.0,beberibense,MICHELE CARIELLO DE SÁ QUEIROZ ROCHA,1596.751,53114.0,33.26,98.2,0.638,15.82,226860613.1,232876490.3,19497.48
Bela Cruz,2302305.0,bela-cruzense,JOSE OTACILIO DE MORAIS NETO,842.106,32775.0,38.92,98.9,0.623,11.24,121269558.7,113898778.5,9809.26
Boa Viagem,2302404.0,boa-viagense,JOSE CARNEIRO DANTAS FILHO,2835.037,50411.0,17.78,97.6,0.598,10.62,307842133.3,280709815.6,9861.34
Brejo Santo,2302503.0,brejo-santense,MARIA GISLAINE SANTANA SAMPAIO LANDIM,654.658,51090.0,78.04,92.5,0.647,9.93,291536146.5,298891017.3,16277.2
Camocim,2302602.0,camocimense,MARIA ELIZABETE MAGALHAES,1120.452,62326.0,55.63,97.8,0.62,11.19,248331971.4,230080369.8,13087.13
Campos Sales,2302701.0,campos-salense,JOÃO LUIZ LIMA SANTOS,1082.582,25135.0,23.22,98.3,0.63,8.2,105241967.8,102899460.4,10626.15
Canindé,2302800.0,canindeense,MARIA DO ROSÁRIO ARAÚJO PEDROSA XIMENES,3032.39,74174.0,24.46,97.5,0.612,6.88,352471914.8,355881171.4,11761.86
Capistrano,2302909.0,capistranense,ANTONIO SOARES SARAIVA JUNIOR,226.549,17254.0,76.16,96.3,0.611,17.09,86469972.68,92830476.26,9916.38
Caridade,2303006.0,caridadense,MARIA SIMONE FERNANDES TAVARES,926.271,16377.0,17.68,97.3,0.592,15.38,111754604.0,112907234.8,8090.43
Cariré,2303105.0,carireense,ANTONIO RUFINO MARTINS,755.597,17632.0,23.34,97.9,0.596,4.81,113508015.1,106397120.3,10455.04
Caririaçu,2303204.0,caririaçuense,JOSÉ EDMILSON LEITE BARBOSA,634.179,26320.0,41.5,96.1,0.578,7.83,134850572.6,116035022.0,9372.28
Cariús,2303303.0,cariuense,ANTONIO WILAMAR PALACIO DE OLIVEIRA,1036.417,17015.0,16.42,97.1,0.597,-,89177762.83,78326500.04,9678.31
Carnaubal,2303402.0,carnaubalense,JOSE WELITON SOUZA LEITE,363.22,17210.0,47.38,97.1,0.593,12.61,88170891.25,83565633.1,9388.72
Cascavel,2303501.0,cascavelense,TIAGO LUTIANI OLIVEIRA RIBEIRO,838.115,72720.0,86.77,96.7,0.646,14.64,331518637.0,321502458.4,14777.0
Catarina,2303600.0,catarinense,THIAGO PAES DE ANDRADE RODRIGUES,488.153,10243.0,20.98,94.3,0.618,15.75,69477458.24,60869565.55,7324.19
Catunda,2303659.0,catundense,RAVENNA FERNANDES GOMES MESQUITA LIMA,784.022,10444.0,13.32,98.7,0.609,20,67472151.88,63034197.04,10766.7
Caucaia,2303709.0,caucaiense,VITOR PEREIRA VALIM,1223.246,355679.0,290.77,96.3,0.682,11.48,1398090524.0,1455076434.0,28229.51
Cedro,2303808.0,cedrense,JOÃO BATISTA DINIZ,729.97,22344.0,30.61,97.5,0.627,26.52,103360315.5,100610200.4,9656.59
Chaval,2303907.0,chavalense,SEBASTIÃO SOTERO VERAS,237.248,12462.0,52.53,97.4,0.586,13.25,63723402.2,58179532.11,8413.49
Choró,2303931.0,choroense,MARCONDES DE HOLANDA JUCÁ,815.268,12113.0,14.86,97.2,0.585,20.41,79643630.16,72941007.32,13153.2
Chorozinho,2303956.0,chorozinhense,FRANCISCO DE CASTRO MENEZES JÚNIOR,296.431,20163.0,68.02,97.4,0.604,31.58,120349351.1,116820814.2,12830.19
Coreaú,2304004.0,coreauense,JOSE EDEZIO VAZ DE SOUZA,750.332,20953.0,27.92,97.5,0.61,7.52,120570448.9,110257014.2,9643.95
Crateús,2304103.0,crateuense,MARCELO FERREIRA MACHADO,2981.459,76390.0,25.62,97.5,0.644,10.8,317400053.3,322404143.8,12661.3
Crato,2304202.0,cratense,JOSÉ AILTON DE SOUSA BRASIL,1138.15,131050.0,115.14,97.8,0.713,15.92,555840172.2,550785013.8,13976.14
Croatá,2304236.0,croataense,RONILSON FRANCISCO DE OLIVEIRA,696.348,17481.0,25.1,97.4,0.59,14.29,104754008.4,95994832.8,12331.0
Cruz,2304251.0,cruzense,JOÃO MUNIZ SOBRINHO,335.921,29761.0,88.6,98.5,0.632,18.26,156113493.6,144454268.1,14834.67
Deputado Irapuan Pinheiro,2304269.0,irapuense,FRANCISCO GILDECARLOS PINHEIRO,471.134,8932.0,18.96,99.3,0.609,-,57505144.94,50576094.93,10402.46
Ereré,2304277.0,erereense,FRANCISCO OTONI DE QUEIROZ MOURA,362.906,6474.0,17.84,98.0,0.61,-,42094100.14,43209276.6,11123.49
Eusébio,2304285.0,eusebiano,ACILON GONÇALVES PINTO JUNIOR,78.818,74170.0,941.03,98.3,0.701,7.26,622870587.9,625526353.9,65008.58
Farias Brito,2304301.0,farias-britense,FRANCISCO AUSTRAGEZIO SALES,530.54,18217.0,34.34,99.3,0.633,46.15,101013369.2,95284667.9,10462.89
Forquilha,2304350.0,forquilhense,EDINARDO RODRIGUES FILHO,568.778,24173.0,42.5,96.4,0.644,-,115705676.8,106892602.2,12356.43
Fortaleza,2304400.0,fortalezense,JOSÉ SARTO NOGUEIRA MOREIRA,312.353,2428708.0,7775.52,96.1,0.754,11.73,12673913825.0,12288331897.0,27164.45
Fortim,2304459.0,fortinense,NASELMO DE SOUSA FERREIRA,285.024,17294.0,60.68,97.5,0.624,18.69,102287350.5,98020878.77,18625.44
Frecheirinha,2304509.0,frecheirinhense,HELTON LUIS AGUIAR JUNIOR,210.284,15657.0,74.46,97.8,0.604,8.62,88314692.44,80823985.78,19437.91
General Sampaio,2304608.0,sampaiense,FRANCISCO CORDEIRO MOREIRA,230.371,6734.0,29.23,96.2,0.568,31.25,57059712.43,54497151.06,11196.45
Graça,2304657.0,gracense,MARIA IRALDICE DE ALCÂNTARA,258.942,13801.0,53.3,99.1,0.57,6.85,83152733.1,80291681.55,8998.32
Granja,2304707.0,granjense,JULIANA FROTA LOPES DE ALDIGUERI ARRUDA,2663.174,53344.0,20.03,94.7,0.559,11.08,266622515.7,248340714.4,8508.38
Granjeiro,2304806.0,granjeirense,FRANCISCO CLEMENTINO DE ALMEIDA,111.528,4841.0,43.41,98.8,0.585,-,42570249.58,39213742.45,10730.92
Groaíras,2304905.0,groairense,ADAIL ALBUQUERQUE MELO,155.681,10910.0,70.08,97.9,0.633,-,70162292.44,58126867.91,9872.09
Guaiúba,2304954.0,guaiubano,IZABELLA MARIA FERNANDES DA SILVA,256.053,24325.0,95.0,94.2,0.617,11.63,111652508.0,102364025.4,8751.83
Guaraciaba do Norte,2305001.0,guaraciabense,ANTONIO ADAIL MACHADO CASTRO,624.606,42053.0,67.33,97.7,0.609,8.42,185589111.5,192139693.4,16353.68
Guaramiranga,2305100.0,guaramiranguense,ROBERLANDIA FERREIRA CASTELO BRANCO,90.817,5654.0,62.26,97.6,0.637,13.51,55132640.03,45056689.78,15847.79
Hidrolândia,2305209.0,hidrolandense,IRES MOURA OLIVEIRA,926.592,17855.0,19.27,98.0,0.597,17.32,80131315.78,72691493.23,9193.31
Horizonte,2305233.0,horizontino,MANOEL GOMES DE FARIAS NETO,160.557,74755.0,465.6,97.1,0.658,13.35,437392229.1,405216013.6,30381.03
Ibaretama,2305266.0,ibaretamense,ELIRIA MARIA FREITAS DE QUEIROZ,879.255,11956.0,13.6,95.4,0.577,12.12,67272937.29,63141237.87,9881.62
Ibiapina,2305308.0,ibiapinense,MARCOS ANTONIO DA SILVA LIMA,414.092,23965.0,57.87,98.5,0.608,5.21,121491923.4,114932142.5,13850.18
Ibicuitinga,2305332.0,ibicuitinguense,FRANCISCO JOSÉ MAGALHÃES CARNEIRO,423.856,11611.0,27.39,97.9,0.606,8.77,89464410.6,78757277.77,9815.44
Icapuí,2305357.0,icapuiense,RAIMUNDO LACERDA FILHO,421.44,21433.0,50.86,96.8,0.616,19.9,140570820.8,142325875.9,20364.73
Icó,2305407.0,icoense,ANA LAÍS PEIXOTO CORREIA NUNES,1865.862,62642.0,33.57,96.7,0.606,13.72,278334036.5,263440082.3,10797.31
Iguatu,2305506.0,iguatuense,EDNALDO DE LAVOR COURAS,992.208,98064.0,98.83,96.8,0.677,11.12,441099828.8,416921562.1,18380.39
Independência,2305605.0,independenciano,JOSE VALDI COUTINHO,3222.381,24024.0,7.46,97.6,0.632,23.73,101250414.1,99229212.81,11712.06
Ipaporanga,2305654.0,ipaporanguense,ANTONIO AMARO PEREIRA OLIVEIRA,704.773,11575.0,16.42,97.2,0.579,22.56,65002441.51,61217869.97,9841.12
Ipaumirim,2305704.0,ipaumirinense,WILSON ALVES DE FREITAS,276.508,12083.0,43.7,96.7,0.606,25,59362381.56,55879363.77,11469.63
Ipu,2305803.0,ipuense,ROBERIO WAGNER MARTINS MOREIRA,626.049,41081.0,65.62,97.3,0.618,12.87,200779083.0,186753937.3,12333.79
Ipueiras,2305902.0,ipueirense,FRANCISCO SOUTO DE VASCONCELOS JÚNIOR,1483.258,36798.0,24.81,98.1,0.573,8.85,167866879.5,166746313.2,8620.09
Iracema,2306009.0,iracemense,CELSO GOMES DA SILVA NETO,839.174,14001.0,16.68,98.0,0.652,7.41,78137298.38,74945235.82,13607.57
Irauçuba,2306108.0,irauçubense,PATRÍCIA MARIA SANTOS BARRETO,1466.412,23915.0,16.31,95.2,0.605,6.06,136756771.0,116877682.8,9009.98
Itaiçaba,2306207.0,itaiçabense,FRANK GOMES FREITAS,213.604,7536.0,35.28,99.5,0.656,14.71,43255779.26,41472823.68,10482.61
Itaitinga,2306256.0,Itaitinguense,PAULO CESAR FEITOSA ARRAIS,153.686,64650.0,420.66,91.4,0.626,10.2,281428167.1,264092827.4,32560.63
Itapajé,2306306.0,itapajeense,MARIA GORETE BARROSO MAGALHAES CAETANO,432.188,46426.0,107.42,97.1,0.623,17.92,205110765.6,215552442.2,11124.48
Itapipoca,2306405.0,itapipoquense,FELIPE SOUZA PINHEIRO,1600.358,131123.0,81.93,97.9,0.64,8.8,698085995.2,637146326.9,13547.33
Itapiúna,2306504.0,itapiunense,FRANCISCO DÁRIO DE OLIVEIRA COELHO,593.231,17841.0,30.07,95.3,0.604,21.98,91449241.3,91730204.93,8246.45
Itarema,2306553.0,itaremense,ELIZEU CHARLES MONTEIRO,714.833,42957.0,60.09,96.6,0.606,11.08,244170338.5,190636495.9,18001.79
Itatira,2306603.0,itatirense,JOSÉ FERREIRA MATEUS,829.626,20424.0,24.62,97.6,0.562,16.19,149709334.0,141064658.1,7903.96
